KnowledgeBase.getPropertyObjectAsTriples;8
PolicyManager.isAllowed_t;8
KnowledgeBase.removeTriple;8
PolicyManager.isAllowed_t;6
KnowledgeBase.addTriple;9
StorageAccessManager.setDataProperty;25
StorageAccessManager.getPropertyNode;0
PolicyManager.getAllowedModel;8
KnowledgeBase.getPropertyObjectAsTriples;8
StorageAccessManager.getObjectProperty;9
StorageAccessManager.getMe;0
StorageAccessManager.getPropertyNode;0
PolicyManager.isAllowed_t;6
KnowledgeBase.addTriple;10
StorageAccessManager.setObjectProperty;10
StorageAccessManager.getPropertyNode;0
PolicyManager.getAllowedModel;7
KnowledgeBase.getPropertyObjectAsTriples;7
StorageAccessManager.getDataProperty;7
PolicyManager.getAllowedModel;8
StorageAccessManager.getPersonByUserId;8
StorageAccessManager.getPropertyNode;0
PolicyManager.getAllowedModel;7
KnowledgeBase.getPropertyObjectAsTriples;7
PolicyManager.isAllowed_t;10
KnowledgeBase.removeTriple;10
PolicyManager.isAllowed_t;6
KnowledgeBase.addTriple;8
StorageAccessManager.setDataProperty;25
StorageAccessManager.getPropertyNode;0
PolicyManager.getAllowedModel;8
KnowledgeBase.getPropertyObjectAsTriples;8
StorageAccessManager.getObjectProperty;9
StorageAccessManager.getMe;0
StorageAccessManager.getPropertyNode;0
PolicyManager.isAllowed_t;6
KnowledgeBase.addTriple;9
StorageAccessManager.setObjectProperty;9
StorageAccessManager.getPropertyNode;0
PolicyManager.getAllowedModel;8
KnowledgeBase.getPropertyObjectAsTriples;8
StorageAccessManager.getDataProperty;8
PolicyManager.getAllowedModel;7
StorageAccessManager.getPersonByUserId;8
StorageAccessManager.getPropertyNode;0
PolicyManager.getAllowedModel;9
KnowledgeBase.getPropertyObjectAsTriples;10
PolicyManager.isAllowed_t;8
KnowledgeBase.removeTriple;8
PolicyManager.isAllowed_t;5
KnowledgeBase.addTriple;8
StorageAccessManager.setDataProperty;26
StorageAccessManager.getPropertyNode;0
PolicyManager.getAllowedModel;9
KnowledgeBase.getPropertyObjectAsTriples;9
StorageAccessManager.getObjectProperty;11
StorageAccessManager.getMe;0
StorageAccessManager.getPropertyNode;0
PolicyManager.isAllowed_t;8
KnowledgeBase.addTriple;12
StorageAccessManager.setObjectProperty;12
StorageAccessManager.getPropertyNode;0
PolicyManager.getAllowedModel;8
KnowledgeBase.getPropertyObjectAsTriples;8
StorageAccessManager.getDataProperty;8
PolicyManager.getAllowedModel;8
StorageAccessManager.getPersonByUserId;8
StorageAccessManager.getPropertyNode;0
PolicyManager.getAllowedModel;7
KnowledgeBase.getPropertyObjectAsTriples;7
PolicyManager.isAllowed_t;8
KnowledgeBase.removeTriple;8
PolicyManager.isAllowed_t;8
KnowledgeBase.addTriple;12
StorageAccessManager.setDataProperty;27
StorageAccessManager.getPropertyNode;0
PolicyManager.getAllowedModel;9
KnowledgeBase.getPropertyObjectAsTriples;10
StorageAccessManager.getObjectProperty;14
StorageAccessManager.getMe;0
StorageAccessManager.getPropertyNode;0
PolicyManager.isAllowed_t;8
KnowledgeBase.addTriple;13
StorageAccessManager.setObjectProperty;13
StorageAccessManager.getPropertyNode;0
PolicyManager.getAllowedModel;8
KnowledgeBase.getPropertyObjectAsTriples;8
StorageAccessManager.getDataProperty;8
PolicyManager.getAllowedModel;7
StorageAccessManager.getPersonByUserId;7
StorageAccessManager.getPropertyNode;0
PolicyManager.getAllowedModel;8
KnowledgeBase.getPropertyObjectAsTriples;8
PolicyManager.isAllowed_t;8
KnowledgeBase.removeTriple;8
PolicyManager.isAllowed_t;6
KnowledgeBase.addTriple;8
StorageAccessManager.setDataProperty;24
StorageAccessManager.getPropertyNode;0
PolicyManager.getAllowedModel;8
KnowledgeBase.getPropertyObjectAsTriples;9
StorageAccessManager.getObjectProperty;9
StorageAccessManager.getMe;0
StorageAccessManager.getPropertyNode;0
PolicyManager.isAllowed_t;6
KnowledgeBase.addTriple;9
StorageAccessManager.setObjectProperty;9
StorageAccessManager.getPropertyNode;0
PolicyManager.getAllowedModel;8
KnowledgeBase.getPropertyObjectAsTriples;8
StorageAccessManager.getDataProperty;8
PolicyManager.getAllowedModel;7
StorageAccessManager.getPersonByUserId;7
StorageAccessManager.getPropertyNode;0
PolicyManager.getAllowedModel;8
KnowledgeBase.getPropertyObjectAsTriples;8
PolicyManager.isAllowed_t;7
KnowledgeBase.removeTriple;7
PolicyManager.isAllowed_t;7
KnowledgeBase.addTriple;10
StorageAccessManager.setDataProperty;25
StorageAccessManager.getPropertyNode;0
