StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;186;-4096;;;;
KnowledgeBase.getPropertyObjectAsTriples;190;-4096;;;;
StorageAccessManager.getObjectProperty;232;-4096;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;73;0;;;;
KnowledgeBase.addTriple;284;0;;;;
StorageAccessManager.setObjectProperty;286;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;185;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;187;0;;;;
StorageAccessManager.getDataProperty;189;0;;;;
PolicyManager.getAllowedModel;180;0;;;;
StorageAccessManager.getPersonByUserId;184;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;192;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;197;0;;;;
StorageAccessManager.getObjectProperty;241;-8192;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.isAllowed_t;66;0;;;;
KnowledgeBase.addTriple;268;0;;;;
StorageAccessManager.setObjectProperty;270;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;187;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;188;0;;;;
StorageAccessManager.getDataProperty;189;0;;;;
PolicyManager.getAllowedModel;181;0;;;;
StorageAccessManager.getPersonByUserId;183;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;194;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;198;0;;;;
StorageAccessManager.getObjectProperty;238;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;65;0;;;;
KnowledgeBase.addTriple;288;-118784;;;;
StorageAccessManager.setObjectProperty;289;-118784;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;187;126976;;;;
KnowledgeBase.getPropertyObjectAsTriples;188;126976;;;;
StorageAccessManager.getDataProperty;190;126976;;;;
PolicyManager.getAllowedModel;176;0;;;;
StorageAccessManager.getPersonByUserId;179;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;181;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;184;0;;;;
StorageAccessManager.getObjectProperty;210;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;102;0;;;;
KnowledgeBase.addTriple;289;0;;;;
StorageAccessManager.setObjectProperty;291;0;;;;
StorageAccessManager.getPropertyNode;3;0;;;;
PolicyManager.getAllowedModel;184;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;185;0;;;;
StorageAccessManager.getDataProperty;189;0;;;;
PolicyManager.getAllowedModel;185;0;;;;
StorageAccessManager.getPersonByUserId;189;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;211;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;218;0;;;;
StorageAccessManager.getObjectProperty;263;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;65;0;;;;
KnowledgeBase.addTriple;275;0;;;;
StorageAccessManager.setObjectProperty;277;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;181;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;183;0;;;;
StorageAccessManager.getDataProperty;184;0;;;;
PolicyManager.getAllowedModel;177;0;;;;
StorageAccessManager.getPersonByUserId;180;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;187;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;189;0;;;;
StorageAccessManager.getObjectProperty;225;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.isAllowed_t;69;0;;;;
KnowledgeBase.addTriple;267;0;;;;
StorageAccessManager.setObjectProperty;270;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;182;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;184;0;;;;
StorageAccessManager.getDataProperty;186;0;;;;
PolicyManager.getAllowedModel;181;0;;;;
StorageAccessManager.getPersonByUserId;184;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;190;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;194;0;;;;
StorageAccessManager.getObjectProperty;230;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;71;0;;;;
KnowledgeBase.addTriple;266;0;;;;
StorageAccessManager.setObjectProperty;267;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;187;-253952;;;;
