KnowledgeBase.initialize;145;0;;Row Labels;Average of 145;Average of 0
StorageAccessManager.getPropertyNode;2;0;;KnowledgeBase.addTriple;677,7418605;-4621,267774
StorageAccessManager.getPropertyNode;2;0;;KnowledgeBase.getPropertyObjectAsTriples;552,3772425;-5383,994684
PolicyManager.getAllowedModel;431;0;;KnowledgeBase.initialize;136,5555556;0
StorageAccessManager.getAllPersons;1161;0;;KnowledgeBase.removeTriple;852,7478405;1690,110299
PolicyManager.getAllowedModel;255;0;;KnowledgeBase.uninitialize;24,7;409,6
StorageAccessManager.getPersonByUserId;257;0;;PolicyManager.getAllowedModel;542,9636464;-3149,620331
StorageAccessManager.getMe;258;0;;PolicyManager.isAllowed_t;635,4750831;-2434,466445
StorageAccessManager.getPropertyNode;2;0;;StorageAccessManager.deleteObjectProperty;854,592691;1773,118937
PolicyManager.getAllowedModel;362;380928;;StorageAccessManager.getAllPersons;1192;36454,4
KnowledgeBase.getPropertyObjectAsTriples;364;380928;;StorageAccessManager.getDataProperty;544,7013289;-9181,299668
StorageAccessManager.getDataProperty;367;380928;;StorageAccessManager.getMe;311,8;30720
PolicyManager.getAllowedModel;320;0;;StorageAccessManager.getObjectProperty;638,0840532;-808,3136213
StorageAccessManager.getPersonByUserId;324;0;;StorageAccessManager.getPersonByUserId;541,1586093;-1174,548344
StorageAccessManager.getPropertyNode;2;0;;StorageAccessManager.getPropertyNode;0,667910448;0
PolicyManager.getAllowedModel;345;-126976;;StorageAccessManager.setObjectProperty;679,7295681;-4357,27309
KnowledgeBase.getPropertyObjectAsTriples;350;-126976;;Grand Total;488,4709134;-2305,410455
StorageAccessManager.getObjectProperty;388;-126976;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;274;0;;;;
KnowledgeBase.addTriple;415;0;;;;
StorageAccessManager.setObjectProperty;416;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;348;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;349;0;;;;
StorageAccessManager.getDataProperty;351;0;;;;
PolicyManager.getAllowedModel;259;0;;;;
StorageAccessManager.getPersonByUserId;262;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
